"SWE_1960","SWE_2019","USA_1960","USA_2019"
0.01423,0.00186,0.02323,0.00528
0.00137,0.00024,0.00163,0.00036
0.00053,5e-05,0.00094,0.00022
0.00051,0.00017,0.00073,0.00017
7e-04,1e-04,0.00061,0.00014
0.00041,5e-05,0.00052,0.00013
0.00047,7e-05,0.00045,0.00011
0.00036,5e-05,0.00039,1e-04
0.00013,3e-05,0.00036,9e-05
0.00026,3e-05,0.00033,1e-04
0.00025,8e-05,0.00028,9e-05
3e-04,7e-05,0.00031,1e-04
0.00028,3e-05,0.00032,0.00012
0.00021,7e-05,0.00034,0.00014
0.00021,9e-05,0.00037,0.00015
0.00035,0.00012,0.00042,0.00018
0.00029,0.00013,0.00048,0.00021
0.00043,9e-05,0.00056,0.00025
0.00056,3e-04,0.00059,0.00035
0.00045,0.00019,0.00065,0.00034
0.00036,0.00023,0.00063,0.00039
0.00044,0.00031,0.00073,0.00044
0.00042,0.00018,0.00066,0.00046
0.00059,0.00022,0.00069,0.00055
0.00046,0.00035,0.00076,0.00055
0.00054,0.00028,8e-04,0.00059
0.00071,0.00028,0.00089,0.00063
0.00065,0.00036,0.00086,0.00067
7e-04,0.00033,0.00092,0.00071
0.00068,0.00016,0.00099,0.00075
0.00084,0.00028,0.00113,0.00083
0.00084,0.00037,0.00108,0.00087
0.00064,0.00031,0.00119,9e-04
0.00102,0.00025,0.00128,0.00102
0.00067,0.00037,0.00145,0.00099
0.00093,0.00046,0.00159,0.00107
0.00127,0.00042,0.00162,0.00112
0.00103,0.00056,0.00171,0.00119
0.00129,0.00049,0.00199,0.00132
0.00138,0.00054,0.00215,0.00141
0.00139,0.00057,0.00244,0.00145
0.00184,0.00056,0.00246,0.00149
0.00171,0.00062,0.00292,0.00155
0.00196,8e-04,0.00299,0.0017
0.00195,0.00082,0.00328,0.00179
0.0025,0.00076,0.00364,0.00199
0.00281,8e-04,0.00383,0.00213
0.00313,0.00118,0.0043,0.00232
0.00382,0.00102,0.0045,0.00253
0.0033,0.00123,0.00501,0.00272
0.004,0.00121,0.00566,0.00299
0.00397,0.00152,0.00584,0.00317
0.00502,0.00167,0.00647,0.00347
0.00435,0.0019,0.00661,0.00379
0.00555,0.00206,0.00742,0.00413
0.00578,0.00235,0.00782,0.00458
0.00643,0.0025,0.00823,0.00492
0.00759,0.00285,0.00901,0.00541
0.00705,0.00284,0.00953,0.00581
0.00819,0.0036,0.01221,0.00623
0.00968,0.00363,0.01365,0.00695
0.01019,0.00463,0.01225,0.00733
0.01096,0.00485,0.01519,0.00789
0.01291,0.0053,0.01628,0.00834
0.01534,0.00591,0.0177,0.00896
0.01614,0.00608,0.02011,0.00949
0.0174,0.00702,0.01964,0.01019
0.02031,0.0071,0.02302,0.01096
0.02286,0.00916,0.0243,0.01181
0.02626,0.00923,0.02619,0.01294
0.03064,0.01056,0.0309,0.0145
0.03311,0.01123,0.03151,0.01595
0.03714,0.01345,0.03775,0.01753
0.04567,0.01505,0.0391,0.01936
0.05091,0.01714,0.04452,0.02101
0.05562,0.01829,0.05203,0.02417
0.06155,0.02026,0.05397,0.02642
0.07186,0.02323,0.05829,0.0291
0.08268,0.02622,0.0669,0.032
0.08323,0.02934,0.07591,0.03589
0.09413,0.0341,0.08538,0.04049
0.11299,0.03729,0.08547,0.04479
0.12395,0.04587,0.09961,0.05063
0.1325,0.05232,0.11161,0.05734
0.14983,0.05841,0.12457,0.06422
0.16378,0.06699,0.13562,0.07208
0.18618,0.08018,0.14623,0.08191
0.21416,0.09139,0.16382,0.09272
0.22745,0.10366,0.17885,0.10365
0.23873,0.11612,0.19315,0.11992
0.27518,0.13724,0.22047,0.13405
0.28962,0.15424,0.22115,0.15079
0.30076,0.18091,0.25186,0.16989
0.32738,0.2,0.27634,0.18977
0.38344,0.22221,0.28361,0.21494
0.40217,0.25189,0.31042,0.23506
0.43169,0.28156,0.33372,0.26027
0.4617,0.31327,0.35786,0.28717
0.49199,0.34683,0.38275,0.31567
0.52234,0.38198,0.40827,0.34562
0.55252,0.41841,0.43429,0.37685
0.58232,0.45576,0.46068,0.40913
0.61154,0.4936,0.48729,0.44222
0.63997,0.53153,0.51398,0.47583
0.66745,0.56909,0.54058,0.50967
0.69384,0.60587,0.56696,0.54341
0.71902,0.64149,0.59296,0.57676
0.7429,0.67562,0.61845,0.60942
0.7654,0.70797,0.64331,0.64113
0.78651,0.73835,0.66741,0.67166
0.80619,0.76661,0.69067,0.7008
